name,NSE_code,BSE_code,sector,industry,revenue,operating_expenses,operating_profit,operating_profit_margin,depreciation,interest,profit_before_tax,tax,net_profit,EPS,profit_TTM,EPS_TTM
3M India Ltd.,3MINDIA,523395,GENERAL INDUSTRIALS,INDUSTRIAL MACHINERY,1057.0,847.4,192.1,18.48,12.9,0.7,195.9,49.8,146.1,129.7,535.9,475.7
ACC Ltd.,ACC,500410,CEMENT AND CONSTRUCTION,CEMENT & CEMENT PRODUCTS,4644.8,3885.4,549.3,12.39,212.8,28.9,517.7,131.5,387.9,20.7,1202.7,64.0
AIA Engineering Ltd.,AIAENG,532683,GENERAL INDUSTRIALS,OTHER INDUSTRIAL GOODS,1357.1,912.7,382.1,29.51,24.5,7.4,412.5,88.4,323.1,34.3,1216.1,128.9
APL Apollo Tubes Ltd.,APLAPOLLO,533758,METALS & MINING,IRON & STEEL PRODUCTS,465.0,4305.4,325.0,7.02,41.3,26.6,276.7,73.8,202.9,7.3,767.5,27.7
Au Small Finance Bank Ltd.,AUBANK,540611,BANKING AND FINANCE,BANKS,2956.5,1026.7,647.7,25.59,0.0,1282.1,533.4,131.5,401.8,6.0,1606.2,24.0
Adani Ports & Special Economic Zone Ltd.,ADANIPORTS,532921,TRANSPORTATION,MARINE PORT & SERVICES,6951.9,2982.4,3664.0,55.13,974.5,520.1,2474.9,759.0,1747.8,8.1,6337.0,29.3
Adani Energy Solutions Ltd.,ADANIENSOL,ASM,UTILITIES,ELECTRIC UTILITIES,3766.5,2169.3,1504.6,40.95,432.1,640.8,369.9,84.9,275.9,2.5,1315.1,11.8
Aditya Birla Fashion and Retail Ltd.,ABFRL,535755,RETAILING,DEPARTMENT STORES,3272.2,2903.6,322.9,10.01,388.8,208.4,-228.6,-28.2,-179.2,-1.9,-491.7,-5.2
Aegis Logistics Ltd.,AEGISCHEM,500003,OIL & GAS,OIL MARKETING & DISTRIBUTION,1279.3,1026.5,208.3,16.87,34.1,26.6,192.0,42.0,127.0,3.6,509.0,14.5
Ajanta Pharma Ltd.,AJANTPHARM,532331,PHARMACEUTICALS & BIOTECHNOLOGY,PHARMACEUTICALS,1049.8,737.8,290.7,28.26,33.7,2.3,275.9,80.6,195.3,15.5,660.2,52.3
Alembic Pharmaceuticals Ltd.,APLLTD,533573,PHARMACEUTICALS & BIOTECHNOLOGY,PHARMACEUTICALS,1605.1,1386.7,208.2,13.06,67.6,15.7,135.1,-1.9,136.6,7.0,531.7,27.0
Alkem Laboratories Ltd.,ALKEM,539523,PHARMACEUTICALS & BIOTECHNOLOGY,PHARMACEUTICALS,3503.4,2693.4,746.7,21.71,73.9,30.3,648.0,33.1,620.5,51.9,1432.9,119.9
Amara Raja Energy & Mobility Ltd.,ARE&M,500008,AUTOMOBILES & AUTO COMPONENTS,AUTO PARTS & EQUIPMENT,2988.6,2556.9,402.5,13.6,115.7,6.2,309.8,83.5,226.3,13.2,779.8,45.7
Ambuja Cements Ltd.,AMBUJACEM,500425,CEMENT AND CONSTRUCTION,CEMENT & CEMENT PRODUCTS,79.0,6122.1,1301.8,17.54,380.9,61.2,1335.7,352.5,793.0,4.0,2777.9,14.0
Apollo Hospitals Enterprise Ltd.,APOLLOHOSP,508869,DIVERSIFIED CONSUMER SERVICES,HEALTHCARE FACILITIES,4869.1,4219.4,627.5,12.95,163.4,111.3,376.9,130.2,232.9,16.2,697.5,48.5
Apollo Tyres Ltd.,APOLLOTYRE,500877,AUTOMOBILES & AUTO COMPONENTS,AUTO TYRES & RUBBER PRODUCTS,6304.9,5119.8,1159.8,18.47,360.3,132.8,679.9,205.8,474.3,7.5,1590.7,25.0
